data,data_ref,ano,mes,taxa_string,taxa
1964-10-01,1964-10,1964,10,"10.000,00","10000,0"
1964-11-01,1964-11,1964,11,"10.000,00","10000,0"
1964-12-01,1964-12,1964,12,"10.000,00","10000,0"
1965-01-01,1965-01,1965,1,"11.300,00","11300,0"
1965-02-01,1965-02,1965,2,"11.300,00","11300,0"
1965-03-01,1965-03,1965,3,"11.300,00","11300,0"
1965-04-01,1965-04,1965,4,"13.400,00","13400,0"
1965-05-01,1965-05,1965,5,"13.400,00","13400,0"
1965-06-01,1965-06,1965,6,"13.400,00","13400,0"
1965-07-01,1965-07,1965,7,"15.200,00","15200,0"
1965-08-01,1965-08,1965,8,"15.200,00","15200,0"
1965-09-01,1965-09,1965,9,"15.700,00","15700,0"
1965-10-01,1965-10,1965,10,"15.900,00","15900,0"
1965-11-01,1965-11,1965,11,"16.050,00","16050,0"
1965-12-01,1965-12,1965,12,"16.300,00","16300,0"
1966-01-01,1966-01,1966,1,"16.600,00","16600,0"
1966-02-01,1966-02,1966,2,"17.050,00","17050,0"
1966-03-01,1966-03,1966,3,"17.300,00","17300,0"
1966-04-01,1966-04,1966,4,"17.600,00","17600,0"
1966-05-01,1966-05,1966,5,"18.280,00","18280,0"
1966-06-01,1966-06,1966,6,"19.090,00","19090,0"
1966-07-01,1966-07,1966,7,"19.870,00","19870,0"
1966-08-01,1966-08,1966,8,"20.430,00","20430,0"
1966-09-01,1966-09,1966,9,"21.010,00","21010,0"
1966-10-01,1966-10,1966,10,"21.610,00","21610,0"
1966-11-01,1966-11,1966,11,"22.180,00","22180,0"
1966-12-01,1966-12,1966,12,"22.690,00","22690,0"
1967-01-01,1967-01,1967,1,"23.230,00","23230,0"
1967-02-01,1967-02,1967,2,"23,78","23,78"
1967-03-01,1967-03,1967,3,"24,28","24,28"
1967-04-01,1967-04,1967,4,"24,64","24,64"
1967-05-01,1967-05,1967,5,"25,01","25,01"
1967-06-01,1967-06,1967,6,"25,46","25,46"
1967-07-01,1967-07,1967,7,"26,18","26,18"
1967-08-01,1967-08,1967,8,"26,84","26,84"
1967-09-01,1967-09,1967,9,"27,25","27,25"
1967-10-01,1967-10,1967,10,"27,38","27,38"
1967-11-01,1967-11,1967,11,"27,57","27,57"
1967-12-01,1967-12,1967,12,"27,96","27,96"
1968-01-01,1968-01,1968,1,"28,48","28,48"
1968-02-01,1968-02,1968,2,"28,98","28,98"
1968-03-01,1968-03,1968,3,"29,40","29,4"
1968-04-01,1968-04,1968,4,"29,83","29,83"
1968-05-01,1968-05,1968,5,"30,39","30,39"
1968-06-01,1968-06,1968,6,"31,20","31,2"
1968-07-01,1968-07,1968,7,"32,09","32,09"
1968-08-01,1968-08,1968,8,"32,81","32,81"
1968-09-01,1968-09,1968,9,"33,41","33,41"
1968-10-01,1968-10,1968,10,"33,88","33,88"
1968-11-01,1968-11,1968,11,"34,39","34,39"
1968-12-01,1968-12,1968,12,"34,95","34,95"
1969-01-01,1969-01,1969,1,"35,62","35,62"
1969-02-01,1969-02,1969,2,"36,27","36,27"
1969-03-01,1969-03,1969,3,"36,91","36,91"
1969-04-01,1969-04,1969,4,"37,43","37,43"
1969-05-01,1969-05,1969,5,"38,01","38,01"
1969-06-01,1969-06,1969,6,"38,48","38,48"
1969-07-01,1969-07,1969,7,"39,00","39,0"
1969-08-01,1969-08,1969,8,"39,27","39,27"
1969-09-01,1969-09,1969,9,"39,56","39,56"
1969-10-01,1969-10,1969,10,"39,92","39,92"
1969-11-01,1969-11,1969,11,"40,57","40,57"
1969-12-01,1969-12,1969,12,"41,42","41,42"
1970-01-01,1970-01,1970,1,"42,35","42,35"
1970-02-01,1970-02,1970,2,"43,30","43,3"
1970-03-01,1970-03,1970,3,"44,17","44,17"
1970-04-01,1970-04,1970,4,"44,67","44,67"
1970-05-01,1970-05,1970,5,"45,08","45,08"
1970-06-01,1970-06,1970,6,"45,50","45,5"
1970-07-01,1970-07,1970,7,"46,20","46,2"
1970-08-01,1970-08,1970,8,"46,61","46,61"
1970-09-01,1970-09,1970,9,"47,05","47,05"
1970-10-01,1970-10,1970,10,"47,61","47,61"
1970-11-01,1970-11,1970,11,"48,51","48,51"
1970-12-01,1970-12,1970,12,"49,54","49,54"
1971-01-01,1971-01,1971,1,"50,51","50,51"
1971-02-01,1971-02,1971,2,"51,44","51,44"
1971-03-01,1971-03,1971,3,"52,12","52,12"
1971-04-01,1971-04,1971,4,"52,64","52,64"
1971-05-01,1971-05,1971,5,"53,25","53,25"
1971-06-01,1971-06,1971,6,"54,01","54,01"
1971-07-01,1971-07,1971,7,"55,08","55,08"
1971-08-01,1971-08,1971,8,"56,18","56,18"
1971-09-01,1971-09,1971,9,"57,36","57,36"
1971-10-01,1971-10,1971,10,"58,61","58,61"
1971-11-01,1971-11,1971,11,"59,79","59,79"
1971-12-01,1971-12,1971,12,"60,77","60,77"
1972-01-01,1972-01,1972,1,"61,52","61,52"
1972-02-01,1972-02,1972,2,"62,26","62,26"
1972-03-01,1972-03,1972,3,"63,09","63,09"
1972-04-01,1972-04,1972,4,"63,81","63,81"
1972-05-01,1972-05,1972,5,"64,66","64,66"
1972-06-01,1972-06,1972,6,"65,75","65,75"
1972-07-01,1972-07,1972,7,"66,93","66,93"
1972-08-01,1972-08,1972,8,"67,89","67,89"
1972-09-01,1972-09,1972,9,"68,46","68,46"
1972-10-01,1972-10,1972,10,"68,95","68,95"
1972-11-01,1972-11,1972,11,"69,61","69,61"
1972-12-01,1972-12,1972,12,"70,07","70,07"
1973-01-01,1973-01,1973,1,"70,87","70,87"
1973-02-01,1973-02,1973,2,"71,57","71,57"
1973-03-01,1973-03,1973,3,"72,32","72,32"
1973-04-01,1973-04,1973,4,"73,19","73,19"
1973-05-01,1973-05,1973,5,"74,03","74,03"
1973-06-01,1973-06,1973,6,"74,97","74,97"
1973-07-01,1973-07,1973,7,"75,80","75,8"
1973-08-01,1973-08,1973,8,"76,48","76,48"
1973-09-01,1973-09,1973,9,"77,12","77,12"
1973-10-01,1973-10,1973,10,"77,87","77,87"
1973-11-01,1973-11,1973,11,"78,40","78,4"
1973-12-01,1973-12,1973,12,"79,07","79,07"
1974-01-01,1974-01,1974,1,"80,62","80,62"
1974-02-01,1974-02,1974,2,"81,47","81,47"
1974-03-01,1974-03,1974,3,"82,69","82,69"
1974-04-01,1974-04,1974,4,"83,73","83,73"
1974-05-01,1974-05,1974,5,"85,10","85,1"
1974-06-01,1974-06,1974,6,"86,91","86,91"
1974-07-01,1974-07,1974,7,"89,80","89,8"
1974-08-01,1974-08,1974,8,"93,75","93,75"
1974-09-01,1974-09,1974,9,"98,22","98,22"
1974-10-01,1974-10,1974,10,"101,90","101,9"
1974-11-01,1974-11,1974,11,"104,10","104,1"
1974-12-01,1974-12,1974,12,"105,41","105,41"
1975-01-01,1975-01,1975,1,"106,76","106,76"
1975-02-01,1975-02,1975,2,"108,38","108,38"
1975-03-01,1975-03,1975,3,"110,18","110,18"
1975-04-01,1975-04,1975,4,"112,25","112,25"
1975-05-01,1975-05,1975,5,"114,49","114,49"
1975-06-01,1975-06,1975,6,"117,13","117,13"
1975-07-01,1975-07,1975,7,"119,27","119,27"
1975-08-01,1975-08,1975,8,"121,31","121,31"
1975-09-01,1975-09,1975,9,"123,20","123,2"
1975-10-01,1975-10,1975,10,"125,70","125,7"
1975-11-01,1975-11,1975,11,"128,43","128,43"
1975-12-01,1975-12,1975,12,"130,93","130,93"
1976-01-01,1976-01,1976,1,"133,34","133,34"
1976-02-01,1976-02,1976,2,"135,90","135,9"
1976-03-01,1976-03,1976,3,"138,94","138,94"
1976-04-01,1976-04,1976,4,"142,24","142,24"
1976-05-01,1976-05,1976,5,"145,83","145,83"
1976-06-01,1976-06,1976,6,"150,17","150,17"
1976-07-01,1976-07,1976,7,"154,60","154,6"
1976-08-01,1976-08,1976,8,"158,55","158,55"
1976-09-01,1976-09,1976,9,"162,97","162,97"
1976-10-01,1976-10,1976,10,"168,33","168,33"
1976-11-01,1976-11,1976,11,"174,40","174,4"
1976-12-01,1976-12,1976,12,"179,68","179,68"
1977-01-01,1977-01,1977,1,"183,65","183,65"
1977-02-01,1977-02,1977,2,"186,83","186,83"
1977-03-01,1977-03,1977,3,"190,51","190,51"
1977-04-01,1977-04,1977,4,"194,83","194,83"
1977-05-01,1977-05,1977,5,"200,45","200,45"
1977-06-01,1977-06,1977,6,"206,90","206,9"
1977-07-01,1977-07,1977,7,"213,80","213,8"
1977-08-01,1977-08,1977,8,"219,51","219,51"
1977-09-01,1977-09,1977,9,"224,01","224,01"
1977-10-01,1977-10,1977,10,"227,15","227,15"
1977-11-01,1977-11,1977,11,"230,30","230,3"
1977-12-01,1977-12,1977,12,"233,74","233,74"
1978-01-01,1978-01,1978,1,"238,32","238,32"
1978-02-01,1978-02,1978,2,"243,35","243,35"
1978-03-01,1978-03,1978,3,"248,99","248,99"
1978-04-01,1978-04,1978,4,"255,41","255,41"
1978-05-01,1978-05,1978,5,"262,87","262,87"
1978-06-01,1978-06,1978,6,"270,88","270,88"
1978-07-01,1978-07,1978,7,"279,04","279,04"
1978-08-01,1978-08,1978,8,"287,58","287,58"
1978-09-01,1978-09,1978,9,"295,57","295,57"
1978-10-01,1978-10,1978,10,"303,29","303,29"
1978-11-01,1978-11,1978,11,"310,49","310,49"
1978-12-01,1978-12,1978,12,"318,44","318,44"
1979-01-01,1979-01,1979,1,"326,82","326,82"
1979-02-01,1979-02,1979,2,"334,20","334,2"
1979-03-01,1979-03,1979,3,"341,97","341,97"
1979-04-01,1979-04,1979,4,"350,51","350,51"
1979-05-01,1979-05,1979,5,"363,64","363,64"
1979-06-01,1979-06,1979,6,"377,54","377,54"
1979-07-01,1979-07,1979,7,"390,10","390,1"
1979-08-01,1979-08,1979,8,"400,71","400,71"
1979-09-01,1979-09,1979,9,"412,24","412,24"
1979-10-01,1979-10,1979,10,"428,80","428,8"
1979-11-01,1979-11,1979,11,"448,47","448,47"
1979-12-01,1979-12,1979,12,"468,71","468,71"
1980-01-01,1980-01,1980,1,"487,83","487,83"
1980-02-01,1980-02,1980,2,"508,33","508,33"
